model,dataset,gating_mode,gating_hidden_dim,gated_modes,accuracy,train_time,peak_memory_mb,proxy_compute,percent_active_slices,gate_entropy
NdLinear,cifar10,N/A,0,N/A,41.31,2093.4754371643066,103.69287109375,4144,100.0,0
NdLinearGated,cifar10,soft,16,all,41.45,1375.0517332553864,229.31640625,1876.2324352264404,50.81766645113627,0.986659478931981
NdLinearGated,cifar10,hard,16,all,41.54,1605.7860455513,152.75146484375,0.0,0.0,0.9876101971980491
NdLinearGated,cifar10,soft,4,all,41.39,1207.3203279972076,234.76025390625,2243.114613056183,50.345305601755776,0.9753694374295812
NdLinearGated,cifar10,soft,64,all,41.94,901.2395215034485,234.94873046875,2184.621970176697,51.74703200658163,0.996403876031565
NdLinearGated,cifar10,soft,16,first,41.38,892.083352804184,116.7333984375,1932.1032466888428,50.74530442555746,0.9830611235648554
NdLinearGated,cifar10,soft,16,topk,41.64,1701.1434996128082,219.22900390625,2013.7710394859314,45.53838471571605,0.9944741720586698
NdLinear,cifar10,N/A,0,N/A,40.75,2661.569748401642,103.69287109375,4144,100.0,0
NdLinearGated,cifar10,soft,16,all,42.0,909.17342710495,229.31640625,1802.6474885940552,46.76258563995361,0.9858022738475682
NdLinearGated,cifar10,hard,16,all,41.2,905.8771524429321,152.75146484375,4144.0,33.33333333333333,0.9950117083234248
NdLinearGated,cifar10,soft,4,all,41.6,897.4570481777191,234.76025390625,1754.1047768592834,44.86550291379292,0.978952953629903
NdLinearGated,cifar10,soft,64,all,41.8,1406.1760709285736,234.94873046875,2219.956398010254,50.83722770214081,0.994131071689483
NdLinearGated,cifar10,soft,16,first,41.49,895.7991001605988,116.7333984375,2502.3336629867554,60.27506391207377,0.9955404666143469
NdLinearGated,cifar10,soft,16,topk,41.41,895.3765754699707,219.22900390625,2195.400583267212,47.17172384262085,0.9574971390594268
NdLinear,mnist,N/A,0,N/A,92.22,939.4060139656067,99.9052734375,3600,100.0,0
NdLinearGated,mnist,soft,16,all,92.39,342.5611324310303,205.02685546875,2006.90731716156,51.10090573628744,0.9898572195078202
NdLinearGated,mnist,hard,16,all,91.83,612.1281797885895,136.25146484375,1792.0,0.0,0.994395105832985
NdLinearGated,mnist,soft,4,all,92.18,342.7571406364441,205.89208984375,1652.2867884635925,45.22576630115509,0.9885238229698884
NdLinearGated,mnist,soft,64,all,92.26,341.6177842617035,206.06982421875,1825.874779701233,52.13132003943125,0.9951693681671574
NdLinearGated,mnist,soft,16,first,92.03,331.2899520397186,103.08984375,1814.5530853271484,52.053637305895485,0.9955044837741799
NdLinearGated,mnist,soft,16,topk,92.11,335.8237202167511,106.986328125,1710.3054084777832,46.714238325754806,0.9783762031576568
NdLinear,ag_news,N/A,0,N/A,90.69736842105263,682.7353773117065,474.302734375,102400,100.0,0
NdLinearGated,ag_news,soft,16,all,90.65789473684211,698.7122557163239,511.70751953125,76520.90380859375,64.20122981071472,0.8145521435827567
NdLinearGated,ag_news,hard,16,all,90.86842105263158,689.7145128250122,511.6318359375,102400.0,100.0,0.9761154092726468
NdLinearGated,ag_news,soft,4,all,90.5657894736842,709.532160282135,511.59228515625,100406.94482421875,74.72474575042725,0.5401953676336134
NdLinearGated,ag_news,soft,64,all,90.47368421052632,706.8949289321899,512.390625,26421.54315185547,29.041260480880737,0.42113251544275276
NdLinearGated,ag_news,soft,16,first,90.77631578947368,690.1106457710266,510.814453125,54689.2265625,55.47264665365219,0.9274674381973909
NdLinearGated,ag_news,soft,16,topk,90.84210526315789,699.928460597992,511.75634765625,2530.611541748047,44.57401484251022,0.5342940550083248
NdLinear,imdb,N/A,0,N/A,83.304,692.8868236541748,474.47265625,106496,100.0,0
NdLinearGated,imdb,soft,16,all,83.004,673.6179940700531,508.9560546875,46550.695068359375,44.20361369848251,0.9901278591132497
NdLinearGated,imdb,hard,16,all,82.236,667.9014387130737,508.759765625,8192.0,0.0,0.9976287172442192
NdLinearGated,imdb,soft,4,all,82.692,675.7367086410522,508.72021484375,32841.76904296875,32.66070634126663,0.9099007837310564
NdLinearGated,imdb,soft,64,all,83.884,677.5574705600739,509.6357421875,49506.0849609375,47.77029901742935,0.997808325693642
NdLinearGated,imdb,soft,16,first,83.476,675.2121758460999,507.9658203125,46617.73779296875,44.763870537281036,0.9956703985409041
NdLinearGated,imdb,soft,16,topk,83.212,669.4058640003204,508.90771484375,58870.39599609375,50.32064616680145,0.990076446579623
